duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label,difficulty
0,icmp,eco_i,SF,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0.4,0.6,0,2,1,0.89,0.11,0.11,0,0,0,0,0,normal,21
0,icmp,eco_i,SF,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0.25,0.75,0,255,40,0.37,0.63,0.54,0,0,0,0,0,normal,21
0,icmp,eco_i,SF,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0.33,0.67,0,255,99,0.72,0.28,0.49,0,0,0,0,0,normal,21
0,icmp,eco_i,SF,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0.11,0.89,0,255,130,0.01,0.99,0.19,0,0,0,0,0,normal,21
0,icmp,eco_i,SF,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3.0,-2.0,0,255,84,0.76,0.24,0.13,0,0,0,0,0,normal,21
0,icmp,eco_i,SF,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0.22,0.78,0,2,1,0.81,0.19,0.7,0,0,0,0,0,normal,21
0,icmp,eco_i,SF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0.67,0.33,0,255,62,0.32,0.68,0.83,0,0,0,0,0,normal,21
0,icmp,eco_i,SF,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.0,0.0,0,2,1,0.01,0.99,0.95,0,0,0,0,0,normal,21
0,icmp,eco_i,SF,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0.25,0.75,0,255,175,0.05,0.95,0.5,0,0,0,0,0,normal,21
0,icmp,eco_i,SF,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.0,0,255,140,0.11,0.89,0.53,0,0,0,0,0,normal,21
0,icmp,eco_i,SF,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0.17,0.83,0,255,76,0.63,0.37,0.76,0,0,0,0,0,normal,21
