duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label,difficulty
0,tcp,imap4,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,416,1,0.58,0,0.03,1,0,0.37,9,9,1,0,0.87,0,0.87,0.87,0,0,imap,18
0,tcp,imap4,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,275,1,0.58,0,0.03,1,0,0.28,1,1,1,0,0.84,0,0.67,0.67,0,0,imap,18
0,tcp,imap4,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,145,1,0.78,0,0.03,1,0,0.28,1,1,1,0,0.9,0,0.59,0.59,0,0,imap,18
0,tcp,imap4,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302,1,0.78,0,0.04,1,0,0.37,4,4,1,0,0.97,0,0.85,0.85,0,0,imap,18
34,tcp,imap4,SF,1208,63004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0.0,1,0,0.0,1,1,1,0,0.0,0,0.73,0.73,0,0,imap,12
32,tcp,imap4,SF,1108,47998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0.0,1,0,0.0,6,6,1,0,0.0,0,0.45,0.45,0,0,imap,12
0,tcp,imap4,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,364,1,0.58,0,0.03,1,0,0.28,1,1,1,0,0.86,0,0.58,0.58,0,0,imap,18
30,tcp,imap4,SF,1333,41203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0.0,1,0,0.0,2,2,1,0,0.0,0,0.29,0.29,0,0,imap,12
0,tcp,imap4,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,471,1,0.78,0,0.03,1,0,0.37,2,2,1,0,0.83,0,0.96,0.96,0,0,imap,18
38,tcp,imap4,SF,1090,26567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0.0,1,0,0.0,9,9,1,0,0.0,0,0.96,0.96,0,0,imap,12
37,tcp,imap4,SF,1260,57149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0.0,1,0,0.0,6,6,1,0,0.0,0,0.46,0.46,0,0,imap,12
36,tcp,imap4,SF,1200,26850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0.0,1,0,0.0,9,9,1,0,0.0,0,0.91,0.91,0,0,imap,12
34,tcp,imap4,SF,1167,36477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0.0,1,0,0.0,5,5,1,0,0.0,0,0.3,0.3,0,0,imap,12
0,tcp,imap4,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103,1,0.78,0,0.04,1,0,0.28,2,2,1,0,0.99,0,0.55,0.55,0,0,imap,18
0,tcp,imap4,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,370,1,0.78,0,0.04,1,0,0.28,3,3,1,0,0.81,0,0.65,0.65,0,0,imap,18
36,tcp,imap4,SF,1112,47814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0.0,1,0,0.0,5,5,1,0,0.0,0,0.39,0.39,0,0,imap,12
0,tcp,imap4,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302,1,0.78,0,0.03,1,0,0.28,9,9,1,0,0.91,0,0.82,0.82,0,0,imap,18
39,tcp,imap4,SF,1117,59327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0.0,1,0,0.0,4,4,1,0,0.0,0,0.8,0.8,0,0,imap,12
38,tcp,imap4,SF,1270,35878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0.0,1,0,0.0,1,1,1,0,0.0,0,0.75,0.75,0,0,imap,12
39,tcp,imap4,SF,1031,30090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0.0,1,0,0.0,1,1,1,0,0.0,0,0.2,0.2,0,0,imap,12
0,tcp,imap4,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,372,1,0.78,0,0.04,1,0,0.28,7,7,1,0,1.0,0,0.67,0.67,0,0,imap,18
34,tcp,imap4,SF,1158,42157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0.0,1,0,0.0,7,7,1,0,0.0,0,0.61,0.61,0,0,imap,12
0,tcp,imap4,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,465,1,0.58,0,0.04,1,0,0.37,5,5,1,0,0.75,0,0.69,0.69,0,0,imap,18
32,tcp,imap4,SF,1417,30891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0.0,1,0,0.0,7,7,1,0,0.0,0,0.2,0.2,0,0,imap,12
0,tcp,imap4,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,384,1,0.58,0,0.04,1,0,0.28,7,7,1,0,0.76,0,0.6,0.6,0,0,imap,18
38,tcp,imap4,SF,1161,26160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0.0,1,0,0.0,9,9,1,0,0.0,0,0.76,0.76,0,0,imap,12
32,tcp,imap4,SF,1379,30385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0.0,1,0,0.0,3,3,1,0,0.0,0,0.51,0.51,0,0,imap,12
0,tcp,imap4,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,338,1,0.58,0,0.03,1,0,0.37,9,9,1,0,0.78,0,0.87,0.87,0,0,imap,18
31,tcp,imap4,SF,1369,50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0.0,1,0,0.0,7,7,1,0,0.0,0,0.78,0.78,0,0,imap,12
0,tcp,imap4,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,474,1,0.78,0,0.03,1,0,0.28,1,1,1,0,0.91,0,0.55,0.55,0,0,imap,18
37,tcp,imap4,SF,1052,54998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0.0,1,0,0.0,6,6,1,0,0.0,0,0.98,0.98,0,0,imap,12
38,tcp,imap4,SF,1313,56415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0.0,1,0,0.0,6,6,1,0,0.0,0,0.56,0.56,0,0,imap,12
0,tcp,imap4,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,313,1,0.78,0,0.03,1,0,0.28,1,1,1,0,0.99,0,0.96,0.96,0,0,imap,18
