duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label,difficulty
151,tcp,telnet,SF,2131,10873,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,9,9,1,0,0.92,0,0,0,0.92,0.92,buffer_overflow,3
150,tcp,telnet,SF,2198,13678,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,5,5,1,0,0.52,0,0,0,0.52,0.52,buffer_overflow,4
263,tcp,telnet,SF,5580,15743,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,6,6,1,0,0.22,0,0,0,0.22,0.22,buffer_overflow,4
239,tcp,telnet,SF,3852,4385,0,0,0,1,0,1,2,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,8,8,1,0,0.97,0,0,0,0.97,0.97,buffer_overflow,2
239,tcp,telnet,SF,5852,2907,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,8,8,1,0,0.74,0,0,0,0.74,0.74,buffer_overflow,4
262,tcp,telnet,SF,1137,14170,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,4,4,1,0,0.78,0,0,0,0.78,0.78,buffer_overflow,4
253,tcp,telnet,SF,5813,14197,0,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,8,8,1,0,0.78,0,0,0,0.78,0.78,buffer_overflow,2
267,tcp,telnet,SF,5986,5604,0,0,0,2,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4,4,1,0,0.25,0,0,0,0.25,0.25,buffer_overflow,3
220,tcp,telnet,SF,5513,5933,0,0,0,4,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,7,7,1,0,0.85,0,0,0,0.85,0.85,buffer_overflow,1
267,tcp,telnet,SF,2205,13854,0,0,0,3,0,1,1,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,4,4,1,0,0.78,0,0,0,0.78,0.78,buffer_overflow,3
206,tcp,telnet,SF,3561,8526,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,5,5,1,0,0.45,0,0,0,0.45,0.45,buffer_overflow,1
299,tcp,telnet,SF,2265,6725,0,0,0,3,0,1,3,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,2,2,1,0,0.25,0,0,0,0.25,0.25,buffer_overflow,1
276,tcp,telnet,SF,1039,4629,0,0,0,3,0,1,3,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,2,2,1,0,0.76,0,0,0,0.76,0.76,buffer_overflow,1
168,tcp,telnet,SF,3245,14421,0,0,0,2,0,1,2,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,9,9,1,0,0.52,0,0,0,0.52,0.52,buffer_overflow,2
265,tcp,telnet,SF,2415,10210,0,0,0,1,0,1,3,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0.5,0,0,0,0.5,0.5,buffer_overflow,3
